First Name,Second Name,Age (Years),Sex,Vehicle Make,Vehicle Model,Vehicle Year,Vehicle Type,Retired,Dependants,Marital_status,Salary,Pension,Company,Commute_distance,Address_postcode
Leon,Smith,48,Male,Mercedes-Benz,Astro Cargo,2009,Pickup,False,2,married or civil partner,65911,0,"Gilbert, Williams and Quinn",15.68,DY0 3SG
Margaret,Mason,35,Female,Honda,Sable,2015,Van/Minivan,False,1,married or civil partner,19095,0,Gibson PLC,6.13,WR2H 3NN
Guy,Harrison,26,Male,Chevrolet,S60,2013,SUV,False,4,single,22704,0,"Collins, Wade and Parker",7.14,WR4M 2LP
Denise,Robinson,30,Female,Ford,Tucson,2002,Sedan,False,2,single,93818,0,Higgins-Wallis,19.68,E17 1TN
Simon,Fox,27,Male,Toyota,Dart,2005,SUV,False,,married or civil partner,46300,0,Carey-Owens,12.34,CT99 0XU
Tom,Cooke,69,Male,Hyundai,Liberty,2019,Pickup,False,2,single,78099,0,Parker PLC,17.52,G28 1EQ
Fiona,Marshall,86,Female,Chevrolet,Pathfinder,2006,SUV,True,2,married or civil partner,27329,29558,N/A,0,B3 9ZN
Mitchell,Davidson,84,Male,Subaru,A8,2006,"Sedan, Hatchback, Wagon",True,1,married or civil partner,72088,28111,N/A,0,NP3 5ZP
Sam,Long,83,Male,Mercedes-Benz,Azure T,2018,Coupe,True,2,single,58511,26792,N/A,0,NP5 2SJ
Sean,Perry,87,Male,Ford,1500 Regular Cab,2010,SUV,True,2,married or civil partner,72515,32420,N/A,0,EX27 3XW
Jacob,Bennett,66,Male,Mercedes-Benz,Impreza,1999,SUV,False,1,single,92862,0,"Smith, Osborne and Hammond",19.55,DN5R 9DX
Lydia,Henderson,62,Female,Nissan,GLC Coupe,2006,SUV,False,1,divorced,90083,0,"Akhtar, Jones and Morris",19.18,B55 5BB
Nathan,Slater,81,Male,Cadillac,RLX,1992,Sedan,True,2,divorced,56794,28402,N/A,0,S74 4AJ
Claire,Russell,41,Female,Mercedes-Benz,Voyager,1992,Van/Minivan,False,2,married or civil partner,51199,0,Yates Inc,13.23,M54 6EA
Katy,Green,78,Female,Volvo,Galant,1992,Wagon,False,2,married or civil partner,47424,0,"James, Richardson and Cooke",12.54,S3 6HS
Duncan,Moore,67,Male,Volkswagen,SLK-Class,1997,Sedan,False,2,married or civil partner,67814,0,Griffiths Group,15.98,E87 9TP
Abbie,Miller,73,Female,Dodge,del Sol,2002,Sedan,False,2,single,38800,0,Lewis-Gibbons,10.87,LS0M 9LG
Amber,Hobbs,21,Female,Toyota,Rodeo,1999,Van/Minivan,False,2,married or civil partner,26372,0,"Andrews, Collins and Fraser",8.08,SS66 4AX
